                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45981,                0.29691,                 1.0042,                 0.9537,                0.93979,                0.96634,                0.83699,                0.57544,                0.40709,                 1.0233,             0.00025436,             0.00025436,             0.00025436
                      2,                0.49748,                 0.3545,                 1.0266,                0.92783,                0.92888,                0.96011,                 0.8265,                0.59306,                0.42855,                 1.0407,             0.00046014,             0.00046014,             0.00046014
                      3,                0.53527,                0.40688,                 1.0505,                0.87989,                0.87808,                0.93871,                0.78448,                0.66272,                0.59314,                 1.1025,             0.00061516,             0.00061516,             0.00061516
                      4,                 0.5626,                0.40378,                 1.0743,                0.93027,                0.88769,                 0.9478,                0.80763,                0.60265,                0.48044,                 1.0477,             0.00054061,             0.00054061,             0.00054061
                      5,                0.53939,                0.41281,                 1.0619,                0.92018,                0.89202,                0.95452,                0.80457,                0.61529,                0.48822,                 1.0597,             0.00054061,             0.00054061,             0.00054061
                      6,                0.53101,                0.40994,                 1.0578,                0.90673,                0.92169,                0.94769,                0.80104,                0.61286,                0.49178,                 1.0729,             0.00046448,             0.00046448,             0.00046448
                      7,                0.51266,                0.36842,                   1.04,                0.92869,                0.91479,                0.96241,                0.82496,                0.60574,                0.42802,                 1.0583,             0.00038835,             0.00038835,             0.00038835
                      8,                0.48732,                0.33373,                 1.0251,                0.94399,                0.94038,                0.96983,                0.83355,                0.59134,                0.39945,                 1.0397,             0.00031221,             0.00031221,             0.00031221
                      9,                0.47477,                0.31544,                 1.0102,                 0.9463,                0.93648,                0.96686,                0.83644,                0.58798,                0.42202,                 1.0375,             0.00023608,             0.00023608,             0.00023608
                     10,                0.45644,                0.29047,                 1.0041,                0.97298,                0.94303,                0.98054,                0.87068,                0.54262,                0.33555,                0.99299,             0.00015995,             0.00015995,             0.00015995
