                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54258,                0.38997,                 1.0651,                0.93333,                0.90997,                0.96686,                0.80914,                0.66592,                0.43238,                 1.1096,             0.00025436,             0.00025436,             0.00025436
                      2,                0.57177,                0.44765,                 1.0827,                0.89049,                0.86345,                0.92298,                0.77808,                0.65519,                0.61357,                 1.0723,             0.00046014,             0.00046014,             0.00046014
                      3,                0.61091,                0.53365,                 1.1116,                0.85391,                0.84735,                0.90251,                 0.7385,                0.67272,                0.62103,                 1.1224,             0.00061516,             0.00061516,             0.00061516
                      4,                0.63083,                0.52771,                 1.1334,                 0.8521,                0.82951,                0.91349,                0.74873,                0.69198,                0.68547,                 1.1202,             0.00054061,             0.00054061,             0.00054061
                      5,                0.60561,                0.51754,                 1.1118,                0.88528,                  0.852,                 0.9213,                 0.7628,                0.65478,                0.58734,                 1.1016,             0.00054061,             0.00054061,             0.00054061
                      6,                0.60427,                0.50704,                 1.1079,                0.85391,                0.86473,                0.90436,                0.75227,                0.65073,                0.67673,                 1.0928,             0.00046448,             0.00046448,             0.00046448
                      7,                0.57315,                0.45957,                 1.0855,                0.89218,                0.91401,                 0.9606,                0.78878,                0.67913,                0.48936,                 1.1208,             0.00038835,             0.00038835,             0.00038835
                      8,                0.55524,                 0.4178,                 1.0796,                0.93403,                 0.9043,                0.96419,                0.82581,                0.60181,                0.43308,                 1.0403,             0.00031221,             0.00031221,             0.00031221
                      9,                0.53204,                0.38427,                 1.0509,                0.93212,                0.92191,                0.96561,                0.81588,                0.63025,                0.43362,                 1.0718,             0.00023608,             0.00023608,             0.00023608
                     10,                0.51578,                0.35669,                 1.0463,                0.94423,                0.92842,                0.97357,                0.84072,                0.57937,                0.38828,                  1.019,             0.00015995,             0.00015995,             0.00015995
